,combination_name,drug_name_1,drug_name_2,snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name,total_cases_md_snomed_drugs,total_cases_md_drugs,relative_frequency_md (y_obs),total_cases_sd_snomed_drug1,total_cases_sd_drug_1,total_cases_sd_snomed_drug2,total_cases_sd_drug_2,bliss_independence (y_pred),bliss_ratio,chi2_obs,chi2_exp,chi2_ratio,chi2,p
6797,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,193462001,Insomnia,Disturbances in initiating and maintaining sleep,Psychiatric disorders,17,797,0.02133,145,6447,219,12055,0.04025,0.52994,0.021794871794871794,0.020068364759069358,1.0860312764158917,0.039646126974432205,0.8421740769043926
6835,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,22253000,Pain,Pain and discomfort NEC,General disorders and administration site conditions,17,797,0.02133,118,6447,202,12055,0.03475,0.61381,0.021794871794871794,0.01759982400175998,1.238357371794872,0.5088364953468937,0.4756429625578611
6864,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,48694002,Anxiety,Anxiety symptoms,Psychiatric disorders,20,797,0.02509,120,6447,270,12055,0.04059,0.61813,0.02574002574002574,0.02153268551236749,1.1953931953931953,0.4150843344620922,0.519400113418915
6913,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,271807003,Rash,"Rashes, eruptions and exanthems NEC",Skin and subcutaneous tissue disorders,8,797,0.01004,32,6447,74,12055,0.01107,0.90696,0.010139416983523447,0.0057621222004783645,1.7596671210273334,1.737476214414638,0.18745892502312855
6999,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,13,797,0.01631,104,6447,204,12055,0.03278,0.49756,0.016581632653061226,0.016928657799274487,0.9795007288629738,0.0,1.0
7019,morphine & pirfenidone,morphine,pirfenidone,14760008,Constipation,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal disorders,6,75,0.08,9,683,46,3689,0.02549,3.13849,0.08695652173913043,0.012740328932128793,6.825296442687747,20.0407014205943,7.581126115753725e-06
7054,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,68962001,Myalgia,Muscle pains,Musculoskeletal and connective tissue disorders,18,797,0.02258,129,6447,241,12055,0.0396,0.5702,0.023106546854942234,0.02040591219942643,1.1323456961454395,0.14484203986667576,0.7035140432236868
7123,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,14,797,0.01757,124,6447,226,12055,0.03762,0.46704,0.017879948914431672,0.019281621859850155,0.9273052362707535,0.020037494440527964,0.8874324165595431
7284,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,225624000,Panic attack,Panic attacks and disorders,Psychiatric disorders,7,797,0.00878,55,6447,106,12055,0.01725,0.50899,0.008860759493670886,0.008778147320211548,1.009411117226197,0.0,1.0
7407,nintedanib & warfarin,nintedanib,warfarin,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,6,78,0.07692,117,1936,11,678,0.07567,1.01652,0.08333333333333333,0.05148833467417538,1.6184895833333333,0.7302076533763826,0.39281588823463276
7484,treprostinil & warfarin,treprostinil,warfarin,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,6,125,0.048,52,1280,9,678,0.05336,0.89955,0.05042016806722689,0.032156035846072746,1.5679845708775313,0.5983090653168687,0.4392239225107155
7585,epoprostenol & macitentan,epoprostenol,macitentan,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,125,3473,0.03599,272,7134,125,10192,0.04992,0.72095,0.03733572281959379,0.02345088310000591,1.5920817420979931,19.693631911587865,9.090378625661281e-06
7714,duloxetine & fluoxetine,duloxetine,fluoxetine,193462001,Insomnia,Disturbances in initiating and maintaining sleep,Psychiatric disorders,8,268,0.02985,1632,37323,25,1924,0.05615,0.53161,0.03076923076923077,0.044080872572492685,0.6980177336242515,0.7258155094265484,0.3942429165870658
7763,duloxetine & oxycodone,duloxetine,oxycodone,193462001,Insomnia,Disturbances in initiating and maintaining sleep,Psychiatric disorders,6,123,0.04878,1632,37323,13,1045,0.05563,0.87687,0.05128205128205128,0.04479481523840645,1.1448211363104979,0.009981324212574128,0.9204184944513709
7813,quetiapine & sertraline,quetiapine,sertraline,193462001,Insomnia,Disturbances in initiating and maintaining sleep,Psychiatric disorders,6,277,0.02166,16,1163,81,3717,0.03525,0.61447,0.02214022140221402,0.02028015889609032,1.091718339863811,0.0,1.0
7894,levothyroxine & citalopram,levothyroxine,citalopram,193462001,Insomnia,Disturbances in initiating and maintaining sleep,Psychiatric disorders,8,130,0.06154,986,33683,39,1550,0.05369,1.14621,0.06557377049180328,0.02996375116931712,2.18843662534986,3.7323032290556757,0.05336975326488547
7902,alprazolam & clonazepam,alprazolam,clonazepam,193462001,Insomnia,Disturbances in initiating and maintaining sleep,Psychiatric disorders,6,202,0.0297,23,1126,80,3155,0.04527,0.65606,0.030612244897959183,0.024652943992340835,1.2417277590647908,0.0756974172640421,0.7832151069275884
7982,methotrexate & tofacitinib,methotrexate,tofacitinib,267024001,Abnormal loss of weight,General nutritional disorders NEC,Metabolism and nutrition disorders,11,965,0.0114,9,2139,31,3663,0.01263,0.90261,0.011530398322851153,0.006942034015966678,1.6609538784067086,1.6828906025716495,0.19454080181497108
8030,epoprostenol & macitentan,epoprostenol,macitentan,271737000,Anaemia,Anaemias NEC,Blood and lymphatic system disorders,26,3473,0.00749,25,7134,94,10192,0.01269,0.59023,0.007542790832608065,0.006915790085430348,1.090662200476361,0.08283166717797573,0.7734960774139932
8039,duloxetine & fluoxetine,duloxetine,fluoxetine,312230002,Hyperhidrosis,Apocrine and eccrine gland disorders,Skin and subcutaneous tissue disorders,7,268,0.02612,1288,37323,19,1924,0.04405,0.59296,0.02681992337164751,0.03444913020558777,0.7785370257997755,0.23294616674884427,0.6293478430917415
8114,methotrexate & tofacitinib,methotrexate,tofacitinib,312230002,Hyperhidrosis,Apocrine and eccrine gland disorders,Skin and subcutaneous tissue disorders,6,965,0.00622,7,2139,7,3663,0.00517,1.20309,0.006256517205422315,0.0024187975120939877,2.5866229703560255,2.8757672590755483,0.08992210808644233
8134,quetiapine & venlafaxine,quetiapine,venlafaxine,312230002,Hyperhidrosis,Apocrine and eccrine gland disorders,Skin and subcutaneous tissue disorders,10,201,0.04975,14,1163,58,3133,0.03033,1.64029,0.05235602094240838,0.017045454545454544,3.071553228621292,9.90442134765643,0.0016488216426363955
8179,duloxetine & oxycodone,duloxetine,oxycodone,363101005,Drug withdrawal syndrome,Withdrawal and rebound effects,General disorders and administration site conditions,6,123,0.04878,1851,37323,20,1045,0.06778,0.71968,0.05128205128205128,0.05126448749212264,1.0003426112458715,0.0,1.0
8243,epoprostenol & macitentan,epoprostenol,macitentan,422400008,Vomiting,Nausea and vomiting symptoms,Gastrointestinal disorders,71,3473,0.02044,158,7134,110,10192,0.0327,0.62508,0.020870076425631982,0.01571110329464181,1.3283647898075759,4.161760861741366,0.04134639900210524
8382,duloxetine & fluoxetine,duloxetine,fluoxetine,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,11,268,0.04104,1620,37323,21,1924,0.05384,0.76226,0.042801556420233464,0.04363665372546934,0.9808624806455207,0.0,1.0
8451,duloxetine & oxycodone,duloxetine,oxycodone,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,6,123,0.04878,1620,37323,23,1045,0.06445,0.75687,0.05128205128205128,0.04473791695030633,1.1462771353215662,0.010570875911860397,0.9181099865556133
8543,methotrexate & tofacitinib,methotrexate,tofacitinib,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,21,965,0.02176,24,2139,70,3663,0.03012,0.72244,0.022245762711864406,0.016468114926419062,1.3508384421204471,1.2165223176435247,0.27004422987074406
8607,duloxetine & bupropion,duloxetine,bupropion,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,8,151,0.05298,1620,37323,29,1702,0.0597,0.88744,0.055944055944055944,0.04411922089041096,1.2680200333323437,0.20340348607734512,0.6519875625294662
8630,pantoprazole & citalopram,pantoprazole,citalopram,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,9,118,0.07627,10,582,28,1550,0.03493,2.18351,0.08256880733944955,0.018147086914995225,4.5499758570738775,15.927093588324146,6.58296125657452e-05
8858,duloxetine & fluoxetine,duloxetine,fluoxetine,230461009,Headache,Headaches NEC,Nervous system disorders,6,268,0.02239,1539,37323,24,1924,0.05319,0.42094,0.022900763358778626,0.04147648869546757,0.5521384302061508,1.689797284788276,0.19362769365035468
8879,epoprostenol & macitentan,epoprostenol,macitentan,230461009,Headache,Headaches NEC,Nervous system disorders,121,3473,0.03484,269,7134,185,10192,0.05518,0.63139,0.03609785202863962,0.026908487434803223,1.3415043159189597,7.710090701576116,0.005491299252410889
9000,quetiapine & sertraline,quetiapine,sertraline,230461009,Headache,Headaches NEC,Nervous system disorders,6,277,0.02166,15,1163,60,3717,0.02883,0.7513,0.02214022140221402,0.015608740894901144,1.418450184501845,0.3259023450829746,0.5680819564373787
9063,olanzapine & venlafaxine,olanzapine,venlafaxine,230461009,Headache,Headaches NEC,Nervous system disorders,9,179,0.05028,30,2685,83,3133,0.03736,1.34582,0.052941176470588235,0.019807186678352323,2.6728266527850075,6.820470924389471,0.009011880160548075
9083,treprostinil & warfarin,treprostinil,warfarin,230461009,Headache,Headaches NEC,Nervous system disorders,7,125,0.056,52,1280,7,678,0.05053,1.10825,0.059322033898305086,0.031068983675618746,1.9093651249640908,1.7887348920178423,0.18108037973929533
9259,duloxetine & fluoxetine,duloxetine,fluoxetine,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,10,268,0.03731,1604,37323,38,1924,0.06188,0.60294,0.03875968992248062,0.04366440632894562,0.8876724357703312,0.046513097087365896,0.8292458039602126
9293,epoprostenol & macitentan,epoprostenol,macitentan,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,75,3473,0.0216,145,7134,239,10192,0.0433,0.49885,0.02207180694526192,0.022665564868374455,0.9738035241318422,0.02094067797392886,0.8849406785670016
9422,methotrexate & tofacitinib,methotrexate,tofacitinib,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,35,965,0.03627,24,2139,96,3663,0.03714,0.97658,0.03763440860215054,0.021119324181626188,1.781989247311828,8.298712992944253,0.003967318366665033
9523,amitriptyline & citalopram,amitriptyline,citalopram,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,6,92,0.06522,6,254,21,1550,0.03685,1.76988,0.06976744186046512,0.015194147439504783,4.59173126614987,10.153390607630081,0.001440360839196381
9524,levothyroxine & citalopram,levothyroxine,citalopram,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,7,130,0.05385,1600,33683,21,1550,0.06041,0.89141,0.056910569105691054,0.0482268237534214,1.1800604866011646,0.046665284582318924,0.8289709956348165
9525,mirtazapine & citalopram,mirtazapine,citalopram,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,6,106,0.0566,14,1081,21,1550,0.02632,2.15046,0.06,0.013482280431432974,4.450285714285714,10.179360746698219,0.0014202141087799026
9597,duloxetine & fluoxetine,duloxetine,fluoxetine,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,7,268,0.02612,1722,37323,16,1924,0.05408,0.48299,0.02681992337164751,0.046335546135594124,0.5788196235599117,1.6725548161657522,0.19591668707222182
9612,enzalutamide & leuprolide,enzalutamide,leuprolide,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,8,283,0.02827,64,2679,37,2041,0.04159,0.67973,0.02909090909090909,0.021866204806235117,1.3304050405040504,0.3128810109884949,0.5759176394787027
9629,levofloxacin & levothyroxine,levofloxacin,levothyroxine,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,7,133,0.05263,124,6447,690,33683,0.03933,1.33816,0.05555555555555555,0.020704039068063892,2.683319683319683,5.418971978276722,0.019919084784648274
9647,epoprostenol & macitentan,epoprostenol,macitentan,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,49,3473,0.01411,107,7134,197,10192,0.03404,0.41451,0.014310747663551402,0.017859240982258252,0.8013077195031973,1.8476558437471398,0.17405627992811504
9726,duloxetine & pregabalin,duloxetine,pregabalin,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,6,119,0.05042,1722,37323,68,4081,0.06203,0.81283,0.05309734513274336,0.04518604533750694,1.1750828101053048,0.02535892384421407,0.8734759655454026
9765,macitentan & sildenafil,macitentan,sildenafil,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,6,410,0.01463,197,10192,8,368,0.04065,0.3599,0.01485148514851485,0.01979719942056977,0.7501811156725429,0.25803424003908254,0.6114738858682365
9859,duloxetine & bupropion,duloxetine,bupropion,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,7,151,0.04636,1722,37323,25,1702,0.06015,0.77074,0.04861111111111111,0.04686410215140297,1.0372781911848885,0.0,1.0
9939,paroxetine & diazepam,paroxetine,diazepam,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,7,177,0.03955,36,1974,11,516,0.03917,1.0097,0.041176470588235294,0.019238641015145313,2.140300375469337,2.5941630684111225,0.10725808431973033
9947,clonazepam & diazepam,clonazepam,diazepam,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,6,226,0.02655,64,3155,11,516,0.04118,0.64473,0.02727272727272727,0.02085650723025584,1.3076363636363637,0.14864107376849364,0.6998373939612512
9990,risperidone & sertraline,risperidone,sertraline,6471006,Suicidal ideation,Suicidal and self-injurious behaviour,Psychiatric disorders,6,159,0.03774,10,1676,50,3717,0.01934,1.9514,0.0392156862745098,0.01125070316894806,3.48562091503268,7.182973920363569,0.007359861415980882
10164,duloxetine & bupropion,duloxetine,bupropion,24199005,Agitation,Anxiety symptoms,Psychiatric disorders,6,151,0.03974,1453,37323,22,1702,0.05136,0.77375,0.041379310344827586,0.039280958721704395,1.0534190531852716,0.0,1.0
10210,morphine & oxycodone,morphine,oxycodone,26079004,Tremor,Tremor (excl congenital),Nervous system disorders,7,168,0.04167,7,683,10,1045,0.01972,2.11308,0.043478260869565216,0.009935710111046173,4.375959079283887,9.995092412410122,0.001569579522495141
10302,duloxetine & fluoxetine,duloxetine,fluoxetine,48694002,Anxiety,Anxiety symptoms,Psychiatric disorders,9,268,0.03358,1532,37323,26,1924,0.05401,0.62174,0.03474903474903475,0.04133832152617475,0.8406010081234728,0.1254646629329792,0.723181574589556
10329,epoprostenol & macitentan,epoprostenol,macitentan,48694002,Anxiety,Anxiety symptoms,Psychiatric disorders,8,3473,0.0023,30,7134,43,10192,0.00841,0.27348,0.002308802308802309,0.004231148206109083,0.5456680305995374,2.2501826997973695,0.13359862835277428
10335,fluoxetine & mirtazapine,fluoxetine,mirtazapine,48694002,Anxiety,Anxiety symptoms,Psychiatric disorders,6,137,0.0438,26,1924,18,1081,0.02994,1.46293,0.04580152671755725,0.01485984464707869,3.082234559333796,5.37135106707594,0.020470116025040258
10403,risperidone & sertraline,risperidone,sertraline,48694002,Anxiety,Anxiety symptoms,Psychiatric disorders,7,159,0.04403,24,1676,74,3717,0.03394,1.29729,0.046052631578947366,0.01850802644003777,2.488251879699248,4.257603688101521,0.039075005072617595
10428,duloxetine & tramadol,duloxetine,tramadol,48694002,Anxiety,Anxiety symptoms,Psychiatric disorders,7,176,0.03977,1532,37323,27,1175,0.06309,0.63037,0.04142011834319527,0.04220471588294215,0.981409718716671,0.0,1.0
10516,paroxetine & diazepam,paroxetine,diazepam,48694002,Anxiety,Anxiety symptoms,Psychiatric disorders,6,177,0.0339,39,1974,9,516,0.03686,0.9197,0.03508771929824561,0.019656019656019656,1.7850877192982455,1.1200670410576945,0.289904018728641
10569,duloxetine & fluoxetine,duloxetine,fluoxetine,55929007,Irritability,Emotional and mood disturbances NEC,Psychiatric disorders,6,268,0.02239,1570,37323,16,1924,0.05004,0.44744,0.022900763358778626,0.04211253020365896,0.5437992741834563,1.7942949251058635,0.18040374368420714
10609,duloxetine & tramadol,duloxetine,tramadol,55929007,Irritability,Emotional and mood disturbances NEC,Psychiatric disorders,7,176,0.03977,1570,37323,8,1175,0.04859,0.81848,0.04142011834319527,0.04274106175514626,0.969094277079068,0.0,1.0
