snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name
70995007,Pulmonary hypertension,Pulmonary hypertensions,"Respiratory, thoracic and mediastinal disorders"
386689009,Body temperature decreased,Physical examination procedures and organ system status,Investigations
386689009,Hypothermia,Body temperature altered,General disorders and administration site conditions
373945007,Pericardial effusion,Pericardial disorders NEC,Cardiac disorders
191357009,Eosinophilia,Eosinophilic disorders,Blood and lymphatic system disorders
64859006,Osteoporosis,Metabolic bone disorders,Musculoskeletal and connective tissue disorders
49601007,Cardiovascular disorder,Cardiac disorders NEC,Cardiac disorders
49601007,Phlebosclerosis,Non-site specific necrosis and vascular insufficiency NEC,Vascular disorders
60238002,Muscle twitching,Muscle related signs and symptoms NEC,Musculoskeletal and connective tissue disorders
17182001,Agranulocytosis,Neutropenias,Blood and lymphatic system disorders
54586004,Abdominal pain lower,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal disorders
44054006,Type 2 diabetes mellitus,Diabetes mellitus (incl subtypes),Metabolism and nutrition disorders
81060008,Intestinal obstruction,Gastrointestinal stenosis and obstruction NEC,Gastrointestinal disorders
102616008,Oral pain,Oral soft tissue signs and symptoms,Gastrointestinal disorders
66931009,Blood calcium increased,Mineral and electrolyte analyses,Investigations
66931009,Hypercalcaemia,Calcium metabolism disorders,Metabolism and nutrition disorders
40733004,Viral infection,Viral infections NEC,Infections and infestations
40733004,Arthropod-borne disease,Infectious transmissions,Infections and infestations
40930008,Hypothyroidism,Thyroid hypofunction disorders,Endocrine disorders
52448006,Dementia,Dementia (excl Alzheimer's type),Nervous system disorders
15244003,Neuroleptic malignant syndrome,Muscle tone abnormal,Nervous system disorders
64226004,Colitis,Colitis (excl infective),Gastrointestinal disorders
36955009,Ageusia,Sensory abnormalities NEC,Nervous system disorders
37372002,Upper gastrointestinal haemorrhage,Non-site specific gastrointestinal haemorrhages,Gastrointestinal disorders
56038003,Staphylococcal infection,Staphylococcal infections,Infections and infestations
50417007,Lower respiratory tract infection,Lower respiratory tract and lung infections,Infections and infestations
428255004,Tubulointerstitial nephritis,Nephritis NEC,Renal and urinary disorders
2472002,Anuria,Renal failure and impairment,Renal and urinary disorders
2472002,Oliguria,Renal failure and impairment,Renal and urinary disorders
64269007,"Hallucination, visual",Hallucinations (excl sleep-related),Psychiatric disorders
271757001,Rash papular,"Rashes, eruptions and exanthems NEC",Skin and subcutaneous tissue disorders
363358000,Lung neoplasm malignant,Respiratory tract and pleural neoplasms malignant cell type unspecified NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
46742003,Skin ulcer,Skin and subcutaneous tissue ulcerations,Skin and subcutaneous tissue disorders
47295007,Psychomotor hyperactivity,Dyskinesias and movement disorders NEC,Nervous system disorders
30473006,Pelvic pain,Reproductive tract signs and symptoms NEC,Reproductive system and breast disorders
1402001,Fear,Fear symptoms and phobic disorders (incl social phobia),Psychiatric disorders
396152005,Prostatic specific antigen increased,Cell marker analyses,Investigations
20602000,Apathy,Mood disorders NEC,Psychiatric disorders
20602000,Indifference,Behaviour and socialisation disturbances,Psychiatric disorders
20602000,Listless,Mood disorders NEC,Psychiatric disorders
95324001,Skin lesion,Dermal and epidermal conditions NEC,Skin and subcutaneous tissue disorders
72366004,Eating disorder,Eating disorders NEC,Psychiatric disorders
21639008,Fluid overload,Total fluid volume increased,Metabolism and nutrition disorders
21639008,Hypervolaemia,Total fluid volume increased,Metabolism and nutrition disorders
74776002,Eye pruritus,"Ocular infections, inflammations and associated manifestations",Eye disorders
1386000,Haemorrhage intracranial,Central nervous system haemorrhages and cerebrovascular accidents,Nervous system disorders
396275006,Osteoarthritis,Osteoarthropathies,Musculoskeletal and connective tissue disorders
84480002,Retching,Nausea and vomiting symptoms,Gastrointestinal disorders
95371007,Application site dermatitis,Application and instillation site reactions,General disorders and administration site conditions
95371007,Application site rash,Application and instillation site reactions,General disorders and administration site conditions
118222006,Ill-defined disorder,General signs and symptoms NEC,General disorders and administration site conditions
205237003,Pneumonitis,Lower respiratory tract inflammatory and immunologic conditions,"Respiratory, thoracic and mediastinal disorders"
247323005,Throat tightness,Upper respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders"
249489001,Choking,Upper respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders"
307496006,Diverticulitis,Abdominal and gastrointestinal infections,Infections and infestations
197270009,Acute hepatic failure,Hepatic failure and associated disorders,Hepatobiliary disorders
2129002,Pharyngeal oedema,Pharyngeal disorders (excl infections and neoplasms),"Respiratory, thoracic and mediastinal disorders"
16269008,Neuralgia,Sensory abnormalities NEC,Nervous system disorders
397825006,Gastric ulcer,Gastric ulcers and perforation,Gastrointestinal disorders
89138009,Cardiogenic shock,Heart failures NEC,Cardiac disorders
414478003,Leukocytosis,Leukocytoses NEC,Blood and lymphatic system disorders
95392007,Injection site oedema,Injection site reactions,General disorders and administration site conditions
95392007,Injection site swelling,Injection site reactions,General disorders and administration site conditions
39400004,Liver injury,Hepatocellular damage and hepatitis NEC,Hepatobiliary disorders
39400004,Traumatic liver injury,Abdominal and gastrointestinal injuries NEC,"Injury, poisoning and procedural complications"
9340000,Mania,Mood alterations with manic symptoms,Psychiatric disorders
26628009,Thinking abnormal,Thinking disturbances,Psychiatric disorders
65710008,Acute respiratory failure,Respiratory failures (excl neonatal),"Respiratory, thoracic and mediastinal disorders"
25569003,Ventricular tachycardia,Ventricular arrhythmias and cardiac arrest,Cardiac disorders
25569003,Ventricular tachyarrhythmia,Ventricular arrhythmias and cardiac arrest,Cardiac disorders
275498002,Respiratory tract infection,Infections NEC,Infections and infestations
102660008,Blood glucose abnormal,Carbohydrate tolerance analyses (incl diabetes),Investigations
271823003,Respiratory rate increased,Physical examination procedures and organ system status,Investigations
271823003,Tachypnoea,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders"
31871009,Device related infection,Infections NEC,Infections and infestations
17450006,Myoclonus,Neurological signs and symptoms NEC,Nervous system disorders
20022000,Hemiparesis,Paralysis and paresis (excl cranial nerve),Nervous system disorders
83547004,Cold sweat,Apocrine and eccrine gland disorders,Skin and subcutaneous tissue disorders
129565002,Muscle disorder,Muscle related signs and symptoms NEC,Musculoskeletal and connective tissue disorders
129565002,Myopathy,Myopathies,Musculoskeletal and connective tissue disorders
84801008,Rheumatoid arthritis,Rheumatoid arthropathies,Musculoskeletal and connective tissue disorders
73430006,Sleep apnoea syndrome,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders"
67782005,Acute respiratory distress syndrome,Pulmonary oedemas,"Respiratory, thoracic and mediastinal disorders"
212970002,Thirst,Feelings and sensations NEC,General disorders and administration site conditions
20262006,Ataxia,Coordination and balance disturbances,Nervous system disorders
274540003,Feeding disorder,General nutritional disorders NEC,Metabolism and nutrition disorders
33737001,Rib fracture,Thoracic cage fractures and dislocations,"Injury, poisoning and procedural complications"
48500005,Delusion,Delusional symptoms,Psychiatric disorders
48500005,"Delusional disorder, unspecified type",Delusional disorders,Psychiatric disorders
48500005,"Delusional disorder, persecutory type",Delusional disorders,Psychiatric disorders
91861009,Acute myeloid leukaemia,Leukaemias acute myeloid,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
125594001,Limb injury,Site specific injuries NEC,"Injury, poisoning and procedural complications"
80954004,Respiratory depression,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders"
105995000,Tooth disorder,Dental disorders NEC,Gastrointestinal disorders
23406007,Upper limb fracture,Limb fractures and dislocations,"Injury, poisoning and procedural complications"
170737008,Gout,Disorders of purine metabolism,Metabolism and nutrition disorders
53597009,Photosensitivity reaction,Photosensitivity and photodermatosis conditions,Skin and subcutaneous tissue disorders
94381002,Metastases to liver,Metastases to specified sites,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
32914008,Restless legs syndrome,Sensory abnormalities NEC,Nervous system disorders
45150006,"Hallucination, auditory",Hallucinations (excl sleep-related),Psychiatric disorders
85972008,Sensory disturbance,Sensory abnormalities NEC,Nervous system disorders
230456007,Status epilepticus,Seizures and seizure disorders NEC,Nervous system disorders
28944009,Cytomegalovirus infection,Cytomegaloviral infections,Infections and infestations
43116000,Eczema,Dermatitis and eczema,Skin and subcutaneous tissue disorders
55004003,Inappropriate antidiuretic hormone secretion,Posterior pituitary disorders,Endocrine disorders
191667009,Paranoia,Behaviour and socialisation disturbances,Psychiatric disorders
190855004,Hypomagnesaemia,Magnesium metabolism disorders,Metabolism and nutrition disorders
118185001,Pregnancy,"Normal pregnancy, labour and delivery","Pregnancy, puerperium and perinatal conditions"
64996003,Metrorrhagia,Menstruation and uterine bleeding NEC,Reproductive system and breast disorders
161833006,Abnormal weight gain,General nutritional disorders NEC,Metabolism and nutrition disorders
409668002,Photophobia,Ocular sensation disorders,Eye disorders
19943007,Hepatic cirrhosis,Hepatic fibrosis and cirrhosis,Hepatobiliary disorders
70142008,Atrial septal defect,Cardiac septal defects congenital,"Congenital, familial and genetic disorders"
16046003,Muscle rigidity,Muscle tone abnormalities,Musculoskeletal and connective tissue disorders
271618001,Impaired healing,Healing abnormal NEC,General disorders and administration site conditions
19466003,Neurotoxicity,Nervous system disorders NEC,Nervous system disorders
72405004,Increased appetite,Appetite disorders,Metabolism and nutrition disorders
416462003,Wound,Non-site specific injuries NEC,"Injury, poisoning and procedural complications"
38936003,Blood pressure abnormal,Vascular tests NEC (incl blood pressure),Investigations
81119003,Drug eruption,Dermatitis ascribed to specific agent,Skin and subcutaneous tissue disorders
11092001,Sinus tachycardia,Supraventricular arrhythmias,Cardiac disorders
